iter	Passed	Remaining
0	145	145359
1	146	73065
2	147	48928
3	148	36861
4	148	29613
5	149	24788
6	150	21328
7	151	18750
8	152	16777
9	153	15155
10	153	13823
11	154	12716
12	155	11782
13	155	10980
14	156	10286
15	157	9678
16	158	9150
17	159	8680
18	159	8256
19	160	7873
20	161	7526
21	162	7211
22	162	6921
23	163	6655
24	164	6410
25	165	6184
26	165	5978
27	166	5787
28	167	5605
29	168	5435
30	168	5277
31	169	5127
32	170	4987
33	170	4857
34	171	4737
35	172	4620
36	173	4514
37	174	4411
38	175	4312
39	175	4217
40	176	4128
41	177	4044
42	178	3962
43	178	3885
44	179	3811
45	180	3743
46	181	3676
47	182	3610
48	182	3547
49	183	3486
50	184	3428
51	184	3372
52	185	3319
53	186	3268
54	187	3221
55	188	3175
56	189	3128
57	189	3083
58	190	3039
59	191	2997
60	192	2956
61	192	2916
62	193	2877
63	194	2840
64	195	2805
65	195	2771
66	196	2737
67	197	2700
68	197	2668
69	198	2637
70	199	2606
71	200	2579
72	200	2551
73	201	2523
74	202	2499
75	203	2473
76	204	2448
77	205	2425
78	205	2400
79	206	2375
80	207	2350
81	207	2327
82	208	2303
83	209	2281
84	209	2258
85	210	2238
86	211	2217
87	212	2199
88	213	2182
89	214	2167
90	215	2151
91	216	2133
92	217	2118
93	218	2101
94	218	2084
95	219	2066
96	220	2048
97	220	2030
98	221	2014
99	221	1997
100	222	1982
101	223	1963
102	223	1949
103	224	1935
104	225	1922
105	226	1908
106	227	1895
107	227	1881
108	228	1868
109	229	1855
110	230	1842
111	230	1831
112	231	1820
113	232	1807
114	233	1796
115	234	1783
116	234	1771
117	235	1759
118	235	1746
119	236	1735
120	237	1723
121	238	1713
122	238	1701
123	239	1691
124	240	1680
125	240	1670
126	241	1660
127	242	1648
128	242	1639
129	243	1629
130	244	1620
131	245	1611
132	245	1602
133	246	1594
134	247	1585
135	248	1576
136	248	1568
137	249	1559
138	250	1550
139	251	1542
140	251	1533
141	252	1525
142	253	1520
143	254	1513
144	255	1506
145	256	1499
146	257	1492
147	257	1484
148	258	1476
149	259	1468
150	259	1461
151	260	1454
152	261	1447
153	262	1440
154	263	1434
155	263	1427
156	264	1420
157	265	1413
158	266	1407
159	266	1400
160	267	1396
161	268	1390
162	269	1384
163	270	1378
164	271	1371
165	271	1365
166	272	1359
167	273	1352
168	273	1346
169	274	1341
170	275	1335
171	276	1330
172	277	1324
173	277	1318
174	278	1313
175	279	1307
176	279	1301
177	280	1296
178	281	1291
179	282	1286
180	282	1280
181	283	1274
182	284	1269
183	285	1264
184	285	1258
185	286	1253
186	287	1248
187	288	1244
188	288	1239
189	289	1235
190	290	1230
191	291	1225
192	291	1220
193	292	1215
194	293	1210
195	294	1206
196	294	1201
197	295	1197
198	296	1193
199	297	1189
200	298	1185
201	298	1180
202	299	1176
203	300	1171
204	301	1167
205	301	1163
206	302	1159
207	303	1157
208	304	1153
209	305	1149
210	306	1144
211	306	1140
212	307	1136
213	308	1131
214	308	1127
215	309	1123
216	310	1119
217	311	1116
218	312	1113
219	312	1109
220	313	1105
221	314	1100
222	314	1096
223	315	1092
224	316	1088
225	316	1084
226	317	1080
227	317	1076
228	318	1073
229	319	1070
230	320	1067
231	321	1063
232	321	1059
233	322	1056
234	323	1053
235	324	1050
236	325	1046
237	325	1043
238	326	1040
239	327	1037
240	328	1033
241	329	1030
242	329	1027
243	330	1023
244	331	1020
245	332	1017
246	332	1015
247	334	1012
248	334	1009
249	335	1006
250	336	1002
251	336	999
252	337	996
253	338	993
254	339	990
255	339	987
256	340	984
257	341	982
258	342	979
259	342	976
260	343	972
261	344	969
262	345	966
263	345	963
264	346	960
265	347	957
266	347	954
267	348	952
268	349	949
269	350	946
270	350	943
271	351	940
272	352	938
273	352	935
274	353	932
275	354	929
276	354	926
277	355	923
278	356	921
279	357	918
280	357	915
281	358	912
282	359	909
283	360	907
284	360	904
285	361	901
286	361	899
287	362	896
288	363	894
289	364	891
290	365	889
291	365	886
292	366	883
293	366	881
294	367	878
295	368	875
296	369	873
297	369	870
298	370	868
299	371	866
300	371	863
301	372	860
302	373	858
303	373	855
304	374	853
305	375	850
306	375	848
307	376	845
308	377	843
309	378	841
310	379	839
311	379	837
312	380	835
313	381	833
314	382	831
315	382	828
316	383	826
317	384	824
318	385	821
319	385	819
320	386	817
321	387	815
322	387	813
323	388	810
324	389	808
325	389	806
326	390	803
327	391	801
328	392	799
329	392	797
330	393	795
331	394	793
332	395	791
333	395	789
334	396	786
335	397	784
336	397	782
337	398	780
338	399	778
339	399	776
340	400	774
341	401	772
342	401	769
343	402	767
344	403	765
345	403	763
346	404	761
347	405	758
348	405	756
349	406	754
350	407	752
351	407	750
352	408	748
353	409	746
354	409	744
355	410	742
356	411	740
357	411	738
358	412	736
359	413	734
360	413	732
361	414	730
362	415	728
363	416	727
364	416	725
365	417	723
366	418	721
367	418	719
368	419	717
369	420	715
370	420	713
371	421	711
372	422	709
373	423	708
374	423	706
375	424	704
376	425	702
377	425	700
378	426	698
379	427	696
380	427	694
381	428	692
382	428	691
383	429	689
384	430	687
385	431	685
386	431	684
387	432	682
388	433	680
389	433	678
390	434	676
391	435	675
392	435	673
393	436	671
394	437	669
395	438	668
396	438	666
397	439	664
398	440	662
399	440	661
400	441	659
401	442	657
402	442	655
403	443	654
404	444	652
405	444	650
406	445	649
407	446	647
408	446	645
409	447	644
410	448	642
411	448	640
412	449	639
413	450	637
414	451	635
415	451	634
416	452	632
417	453	630
418	453	629
419	454	627
420	455	626
421	455	624
422	456	622
423	457	621
424	457	619
425	458	617
426	459	616
427	459	614
428	460	612
429	461	611
430	461	609
431	462	608
432	463	606
433	464	605
434	464	603
435	465	602
436	466	600
437	466	599
438	467	597
439	468	596
440	469	594
441	469	593
442	470	591
443	471	589
444	471	588
445	472	586
446	473	585
447	473	583
448	474	582
449	474	580
450	475	579
451	476	577
452	477	576
453	477	574
454	478	573
455	479	571
456	479	570
457	480	568
458	481	567
459	481	565
460	482	564
461	483	562
462	483	561
463	484	559
464	485	558
465	485	556
466	486	555
467	487	553
468	487	552
469	488	550
470	489	549
471	489	548
472	490	546
473	491	545
474	492	543
475	492	542
476	493	541
477	494	539
478	494	538
479	495	536
480	496	535
481	496	533
482	497	532
483	498	531
484	499	529
485	499	528
486	500	527
487	501	525
488	501	524
489	502	522
490	503	521
491	503	520
492	504	518
493	505	517
494	505	516
495	506	514
496	507	513
